Year,Month,Day,APCode,Snow,Prcp
2008,7,3,ALB,0.0,28.0
2008,7,3,BWI,0.0,0.0
2008,7,3,ALB,0.0,28.0
2008,7,3,BWI,0.0,0.0
2008,7,3,ALB,0.0,28.0
2008,7,3,BWI,0.0,0.0
2008,7,3,ALB,0.0,28.0
2008,7,3,BWI,0.0,0.0
2008,7,3,ALB,0.0,28.0
2008,7,3,BWI,0.0,0.0
2008,7,3,ALB,0.0,28.0
2008,7,3,BWI,0.0,0.0
2008,7,3,AUS,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,AUS,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,BDL,0.0,25.0
2008,7,3,BWI,0.0,0.0
2008,7,3,BDL,0.0,25.0
2008,7,3,BWI,0.0,0.0
2008,7,3,BDL,0.0,25.0
2008,7,3,BWI,0.0,0.0
2008,7,3,BDL,0.0,25.0
2008,7,3,BWI,0.0,0.0
2008,7,3,BDL,0.0,25.0
2008,7,3,BWI,0.0,0.0
2008,7,3,BDL,0.0,25.0
2008,7,3,BWI,0.0,0.0
2008,7,3,BDL,0.0,25.0
2008,7,3,BWI,0.0,0.0
2008,7,3,BDL,0.0,25.0
2008,7,3,BWI,0.0,0.0
2008,7,3,BHM,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,BHM,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,BHM,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,BNA,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,BNA,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,BNA,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,BNA,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,BNA,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,BNA,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,BNA,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,BUF,0.0,97.0
2008,7,3,BWI,0.0,0.0
2008,7,3,BUF,0.0,97.0
2008,7,3,BWI,0.0,0.0
2008,7,3,BUF,0.0,97.0
2008,7,3,BWI,0.0,0.0
2008,7,3,BUF,0.0,97.0
2008,7,3,BWI,0.0,0.0
2008,7,3,BUF,0.0,97.0
2008,7,3,BWI,0.0,0.0
2008,7,3,BUF,0.0,97.0
2008,7,3,BWI,0.0,0.0
2008,7,3,BUF,0.0,97.0
2008,7,3,BWI,0.0,0.0
2008,7,3,CLE,0.0,124.0
2008,7,3,BWI,0.0,0.0
2008,7,3,CLE,0.0,124.0
2008,7,3,BWI,0.0,0.0
2008,7,3,CLE,0.0,124.0
2008,7,3,BWI,0.0,0.0
2008,7,3,CLE,0.0,124.0
2008,7,3,BWI,0.0,0.0
2008,7,3,CMH,0.0,48.0
2008,7,3,BWI,0.0,0.0
2008,7,3,CMH,0.0,48.0
2008,7,3,BWI,0.0,0.0
2008,7,3,CMH,0.0,48.0
2008,7,3,BWI,0.0,0.0
2008,7,3,CMH,0.0,48.0
2008,7,3,BWI,0.0,0.0
2008,7,3,CMH,0.0,48.0
2008,7,3,BWI,0.0,0.0
2008,7,3,DEN,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,DEN,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,DEN,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,DTW,0.0,91.0
2008,7,3,BWI,0.0,0.0
2008,7,3,DTW,0.0,91.0
2008,7,3,BWI,0.0,0.0
2008,7,3,DTW,0.0,91.0
2008,7,3,BWI,0.0,0.0
2008,7,3,DTW,0.0,91.0
2008,7,3,BWI,0.0,0.0
2008,7,3,FLL,0.0,3.0
2008,7,3,BWI,0.0,0.0
2008,7,3,FLL,0.0,3.0
2008,7,3,BWI,0.0,0.0
2008,7,3,FLL,0.0,3.0
2008,7,3,BWI,0.0,0.0
2008,7,3,FLL,0.0,3.0
2008,7,3,BWI,0.0,0.0
2008,7,3,HOU,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,HOU,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,HOU,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,HOU,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,IND,0.0,340.0
2008,7,3,BWI,0.0,0.0
2008,7,3,IND,0.0,340.0
2008,7,3,BWI,0.0,0.0
2008,7,3,IND,0.0,340.0
2008,7,3,BWI,0.0,0.0
2008,7,3,ISP,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,ISP,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,ISP,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,ISP,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,ISP,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,ISP,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,ISP,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,JAN,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,JAN,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,JAX,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,JAX,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,JAX,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,LAS,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,LAS,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,LAS,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,LIT,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,MCI,0.0,102.0
2008,7,3,BWI,0.0,0.0
2008,7,3,MCI,0.0,102.0
2008,7,3,BWI,0.0,0.0
2008,7,3,MCI,0.0,102.0
2008,7,3,BWI,0.0,0.0
2008,7,3,MCO,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,MCO,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,MCO,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,MCO,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,MCO,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,MCO,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,MCO,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,MCO,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,MCO,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,MDW,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,MDW,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,MDW,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,MDW,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,MDW,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,MDW,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,MDW,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,MDW,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,MHT,0.0,48.0
2008,7,3,BWI,0.0,0.0
2008,7,3,MHT,0.0,48.0
2008,7,3,BWI,0.0,0.0
2008,7,3,MHT,0.0,48.0
2008,7,3,BWI,0.0,0.0
2008,7,3,MHT,0.0,48.0
2008,7,3,BWI,0.0,0.0
2008,7,3,MHT,0.0,48.0
2008,7,3,BWI,0.0,0.0
2008,7,3,MHT,0.0,48.0
2008,7,3,BWI,0.0,0.0
2008,7,3,MHT,0.0,48.0
2008,7,3,BWI,0.0,0.0
2008,7,3,MHT,0.0,48.0
2008,7,3,BWI,0.0,0.0
2008,7,3,MHT,0.0,48.0
2008,7,3,BWI,0.0,0.0
2008,7,3,MHT,0.0,48.0
2008,7,3,BWI,0.0,0.0
2008,7,3,MSY,0.0,5.0
2008,7,3,BWI,0.0,0.0
2008,7,3,OKC,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,ORF,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,ORF,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,ORF,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,ORF,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,ORF,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,PBI,0.0,160.0
2008,7,3,BWI,0.0,0.0
2008,7,3,PBI,0.0,160.0
2008,7,3,BWI,0.0,0.0
2008,7,3,PBI,0.0,160.0
2008,7,3,BWI,0.0,0.0
2008,7,3,PHX,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,PHX,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,PHX,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,PHX,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,PIT,0.0,46.0
2008,7,3,BWI,0.0,0.0
2008,7,3,PIT,0.0,46.0
2008,7,3,BWI,0.0,0.0
2008,7,3,PIT,0.0,46.0
2008,7,3,BWI,0.0,0.0
2008,7,3,PVD,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,PVD,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,PVD,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,PVD,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,PVD,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,PVD,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,PVD,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,PVD,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,PVD,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,PVD,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,PVD,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,RDU,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,RDU,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,RDU,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,RDU,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,RDU,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,RDU,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,RSW,0.0,147.0
2008,7,3,BWI,0.0,0.0
2008,7,3,RSW,0.0,147.0
2008,7,3,BWI,0.0,0.0
2008,7,3,SAN,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,SAN,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,SAT,0.0,20.0
2008,7,3,BWI,0.0,0.0
2008,7,3,SAT,0.0,20.0
2008,7,3,BWI,0.0,0.0
2008,7,3,SDF,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,SDF,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,SDF,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,SDF,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,SLC,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,STL,0.0,76.0
2008,7,3,BWI,0.0,0.0
2008,7,3,STL,0.0,76.0
2008,7,3,BWI,0.0,0.0
2008,7,3,STL,0.0,76.0
2008,7,3,BWI,0.0,0.0
2008,7,3,STL,0.0,76.0
2008,7,3,BWI,0.0,0.0
2008,7,3,STL,0.0,76.0
2008,7,3,BWI,0.0,0.0
2008,7,3,TPA,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,TPA,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,TPA,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,TPA,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,TPA,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,TPA,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,TPA,0.0,0.0
2008,7,3,CLE,0.0,124.0
2008,7,3,BNA,0.0,0.0
2008,7,3,CLE,0.0,124.0
2008,7,3,BNA,0.0,0.0
2008,7,3,CLE,0.0,124.0
2008,7,3,BWI,0.0,0.0
2008,7,3,CLE,0.0,124.0
2008,7,3,BWI,0.0,0.0
2008,7,3,CLE,0.0,124.0
2008,7,3,BWI,0.0,0.0
2008,7,3,CLE,0.0,124.0
2008,7,3,BWI,0.0,0.0
2008,7,3,CLE,0.0,124.0
2008,7,3,LAS,0.0,0.0
2008,7,3,CLE,0.0,124.0
2008,7,3,MCO,0.0,0.0
2008,7,3,CLE,0.0,124.0
2008,7,3,MDW,0.0,0.0
2008,7,3,CLE,0.0,124.0
2008,7,3,MDW,0.0,0.0
2008,7,3,CLE,0.0,124.0
2008,7,3,MDW,0.0,0.0
2008,7,3,CLE,0.0,124.0
2008,7,3,MDW,0.0,0.0
2008,7,3,CLE,0.0,124.0
2008,7,3,MDW,0.0,0.0
2008,7,3,CLE,0.0,124.0
2008,7,3,MDW,0.0,0.0
2008,7,3,CLE,0.0,124.0
2008,7,3,MDW,0.0,0.0
2008,7,3,CLE,0.0,124.0
2008,7,3,STL,0.0,76.0
2008,7,3,CLE,0.0,124.0
2008,7,3,STL,0.0,76.0
2008,7,3,CMH,0.0,48.0
2008,7,3,BNA,0.0,0.0
2008,7,3,CMH,0.0,48.0
2008,7,3,BNA,0.0,0.0
2008,7,3,CMH,0.0,48.0
2008,7,3,BWI,0.0,0.0
2008,7,3,CMH,0.0,48.0
2008,7,3,BWI,0.0,0.0
2008,7,3,CMH,0.0,48.0
2008,7,3,BWI,0.0,0.0
2008,7,3,CMH,0.0,48.0
2008,7,3,BWI,0.0,0.0
2008,7,3,CMH,0.0,48.0
2008,7,3,BWI,0.0,0.0
2008,7,3,CMH,0.0,48.0
2008,7,3,LAS,0.0,0.0
2008,7,3,CMH,0.0,48.0
2008,7,3,LAS,0.0,0.0
2008,7,3,CMH,0.0,48.0
2008,7,3,LAS,0.0,0.0
2008,7,3,CMH,0.0,48.0
2008,7,3,MCO,0.0,0.0
2008,7,3,CMH,0.0,48.0
2008,7,3,MCO,0.0,0.0
2008,7,3,CMH,0.0,48.0
2008,7,3,MCO,0.0,0.0
2008,7,3,CMH,0.0,48.0
2008,7,3,MDW,0.0,0.0
2008,7,3,CMH,0.0,48.0
2008,7,3,MDW,0.0,0.0
2008,7,3,CMH,0.0,48.0
2008,7,3,MDW,0.0,0.0
2008,7,3,CMH,0.0,48.0
2008,7,3,MDW,0.0,0.0
2008,7,3,CMH,0.0,48.0
2008,7,3,MDW,0.0,0.0
2008,7,3,CMH,0.0,48.0
2008,7,3,MDW,0.0,0.0
2008,7,3,CMH,0.0,48.0
2008,7,3,MDW,0.0,0.0
2008,7,3,CMH,0.0,48.0
2008,7,3,MDW,0.0,0.0
2008,7,3,CMH,0.0,48.0
2008,7,3,PHL,0.0,0.0
2008,7,3,CMH,0.0,48.0
2008,7,3,PHL,0.0,0.0
2008,7,3,CMH,0.0,48.0
2008,7,3,PHL,0.0,0.0
2008,7,3,CMH,0.0,48.0
2008,7,3,PHX,0.0,0.0
2008,7,3,CMH,0.0,48.0
2008,7,3,STL,0.0,76.0
2008,7,3,CMH,0.0,48.0
2008,7,3,STL,0.0,76.0
2008,7,3,CMH,0.0,48.0
2008,7,3,TPA,0.0,0.0
2008,7,3,CMH,0.0,48.0
2008,7,3,TPA,0.0,0.0
2008,7,3,CMH,0.0,48.0
2008,7,3,TPA,0.0,0.0
2008,7,3,CRP,0.0,58.0
2008,7,3,HOU,0.0,0.0
2008,7,3,CRP,0.0,58.0
2008,7,3,HOU,0.0,0.0
2008,7,3,CRP,0.0,58.0
2008,7,3,HOU,0.0,0.0
2008,7,3,CRP,0.0,58.0
2008,7,3,HOU,0.0,0.0
2008,7,3,CRP,0.0,58.0
2008,7,3,HOU,0.0,0.0
2008,7,3,CRP,0.0,58.0
2008,7,3,HOU,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,ABQ,0.0,48.0
2008,7,3,DAL,0.0,0.0
2008,7,3,ABQ,0.0,48.0
2008,7,3,DAL,0.0,0.0
2008,7,3,ABQ,0.0,48.0
2008,7,3,DAL,0.0,0.0
2008,7,3,ABQ,0.0,48.0
2008,7,3,DAL,0.0,0.0
2008,7,3,ABQ,0.0,48.0
2008,7,3,DAL,0.0,0.0
2008,7,3,ABQ,0.0,48.0
2008,7,3,DAL,0.0,0.0
2008,7,3,ABQ,0.0,48.0
2008,7,3,DAL,0.0,0.0
2008,7,3,ABQ,0.0,48.0
2008,7,3,DAL,0.0,0.0
2008,7,3,ABQ,0.0,48.0
2008,7,3,DAL,0.0,0.0
2008,7,3,AMA,0.0,18.0
2008,7,3,DAL,0.0,0.0
2008,7,3,AMA,0.0,18.0
2008,7,3,DAL,0.0,0.0
2008,7,3,AMA,0.0,18.0
2008,7,3,DAL,0.0,0.0
2008,7,3,AMA,0.0,18.0
2008,7,3,DAL,0.0,0.0
2008,7,3,AMA,0.0,18.0
2008,7,3,DAL,0.0,0.0
2008,7,3,AMA,0.0,18.0
2008,7,3,DAL,0.0,0.0
2008,7,3,AMA,0.0,18.0
2008,7,3,DAL,0.0,0.0
2008,7,3,AMA,0.0,18.0
2008,7,3,DAL,0.0,0.0
2008,7,3,AUS,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,AUS,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,AUS,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,AUS,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,AUS,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,AUS,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,AUS,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,AUS,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,AUS,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,AUS,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,AUS,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,AUS,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,AUS,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,BHM,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,BHM,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,BHM,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,ELP,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,ELP,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,ELP,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,ELP,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,ELP,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,ELP,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,ELP,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,HOU,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,HOU,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,HOU,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,HOU,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,HOU,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,HOU,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,HOU,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,HOU,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,HOU,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,HOU,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,HOU,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,HOU,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,HOU,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,HOU,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,HOU,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,HOU,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,HOU,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,HOU,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,HOU,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,HOU,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,HOU,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,HOU,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,HOU,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,HOU,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,HOU,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,HOU,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,HOU,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,HOU,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,HOU,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,HOU,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,LBB,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,LBB,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,LBB,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,LBB,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,LBB,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,LBB,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,LBB,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,LBB,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,LIT,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,LIT,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,LIT,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,LIT,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,LIT,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,LIT,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,LIT,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,MAF,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,MAF,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,MAF,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,MAF,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,MAF,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,MAF,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,MCI,0.0,102.0
2008,7,3,DAL,0.0,0.0
2008,7,3,MCI,0.0,102.0
2008,7,3,DAL,0.0,0.0
2008,7,3,MCI,0.0,102.0
2008,7,3,DAL,0.0,0.0
2008,7,3,MCI,0.0,102.0
2008,7,3,DAL,0.0,0.0
2008,7,3,MCI,0.0,102.0
2008,7,3,DAL,0.0,0.0
2008,7,3,MCI,0.0,102.0
2008,7,3,DAL,0.0,0.0
2008,7,3,MCI,0.0,102.0
2008,7,3,DAL,0.0,0.0
2008,7,3,MCI,0.0,102.0
2008,7,3,DAL,0.0,0.0
2008,7,3,MSY,0.0,5.0
2008,7,3,DAL,0.0,0.0
2008,7,3,MSY,0.0,5.0
2008,7,3,DAL,0.0,0.0
2008,7,3,MSY,0.0,5.0
2008,7,3,DAL,0.0,0.0
2008,7,3,MSY,0.0,5.0
2008,7,3,DAL,0.0,0.0
2008,7,3,MSY,0.0,5.0
2008,7,3,DAL,0.0,0.0
2008,7,3,MSY,0.0,5.0
2008,7,3,DAL,0.0,0.0
2008,7,3,OKC,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,OKC,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,OKC,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,OKC,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,OKC,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,SAT,0.0,20.0
2008,7,3,DAL,0.0,0.0
2008,7,3,SAT,0.0,20.0
2008,7,3,DAL,0.0,0.0
2008,7,3,SAT,0.0,20.0
2008,7,3,DAL,0.0,0.0
2008,7,3,SAT,0.0,20.0
2008,7,3,DAL,0.0,0.0
2008,7,3,SAT,0.0,20.0
2008,7,3,DAL,0.0,0.0
2008,7,3,SAT,0.0,20.0
2008,7,3,DAL,0.0,0.0
2008,7,3,SAT,0.0,20.0
2008,7,3,DAL,0.0,0.0
2008,7,3,SAT,0.0,20.0
2008,7,3,DAL,0.0,0.0
2008,7,3,SAT,0.0,20.0
2008,7,3,DAL,0.0,0.0
2008,7,3,SAT,0.0,20.0
2008,7,3,DAL,0.0,0.0
2008,7,3,SAT,0.0,20.0
2008,7,3,DAL,0.0,0.0
2008,7,3,SAT,0.0,20.0
2008,7,3,DAL,0.0,0.0
2008,7,3,SAT,0.0,20.0
2008,7,3,DAL,0.0,0.0
2008,7,3,SAT,0.0,20.0
2008,7,3,DAL,0.0,0.0
2008,7,3,SAT,0.0,20.0
2008,7,3,DAL,0.0,0.0
2008,7,3,STL,0.0,76.0
2008,7,3,DAL,0.0,0.0
2008,7,3,STL,0.0,76.0
2008,7,3,DAL,0.0,0.0
2008,7,3,STL,0.0,76.0
2008,7,3,DAL,0.0,0.0
2008,7,3,STL,0.0,76.0
2008,7,3,DAL,0.0,0.0
2008,7,3,STL,0.0,76.0
2008,7,3,DAL,0.0,0.0
2008,7,3,STL,0.0,76.0
2008,7,3,DAL,0.0,0.0
2008,7,3,STL,0.0,76.0
2008,7,3,DAL,0.0,0.0
2008,7,3,STL,0.0,76.0
2008,7,3,DAL,0.0,0.0
2008,7,3,TUL,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,TUL,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,TUL,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,TUL,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,TUL,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,TUL,0.0,0.0
2008,7,3,DAL,0.0,0.0
2008,7,3,TUL,0.0,0.0
2008,7,3,DEN,0.0,0.0
2008,7,3,ABQ,0.0,48.0
2008,7,3,DEN,0.0,0.0
2008,7,3,ABQ,0.0,48.0
2008,7,3,DEN,0.0,0.0
2008,7,3,ABQ,0.0,48.0
2008,7,3,DEN,0.0,0.0
2008,7,3,ABQ,0.0,48.0
2008,7,3,DEN,0.0,0.0
2008,7,3,AMA,0.0,18.0
2008,7,3,DEN,0.0,0.0
2008,7,3,AMA,0.0,18.0
2008,7,3,DEN,0.0,0.0
2008,7,3,AUS,0.0,0.0
2008,7,3,DEN,0.0,0.0
2008,7,3,AUS,0.0,0.0
2008,7,3,DEN,0.0,0.0
2008,7,3,BNA,0.0,0.0
2008,7,3,DEN,0.0,0.0
2008,7,3,BNA,0.0,0.0
2008,7,3,DEN,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,DEN,0.0,0.0
2008,7,3,BWI,0.0,0.0
2008,7,3,DEN,0.0,0.0
